Bac_export_2	11	Chlamydiae,Proteobacteria,Acidobacteria,Actinobacteria,Spirochaetes,Ignavibacteriae,Planctomycetes,Bacteroidetes,Firmicutes,Thermotogae,Aquificae	1	Bacteria
Bac_export_3	11	Chlamydiae,Proteobacteria,Acidobacteria,Actinobacteria,Spirochaetes,Ignavibacteriae,Planctomycetes,Bacteroidetes,Firmicutes,Thermotogae,Aquificae	1	Bacteria
MurJ	16	Actinobacteria,Chlamydiae,Proteobacteria,Acidobacteria,Cyanobacteria,Chloroflexi,Thermotogae,Deinococcus-Thermus,Spirochaetes,Fusobacteria,Ignavibacteriae,Planctomycetes,Bacteroidetes,Firmicutes,Aquificae,Rhodothermaeota	1	Bacteria
Bac_export_1	11	Chlamydiae,Proteobacteria,Acidobacteria,Actinobacteria,Spirochaetes,Ignavibacteriae,Planctomycetes,Bacteroidetes,Firmicutes,Thermotogae,Aquificae	1	Bacteria
Peptidase_M24_C	7	Proteobacteria,Spirochaetes,Fusobacteria,Cyanobacteria,Firmicutes,Bacteroidetes,Thermotogae	1	Bacteria
MukB_hinge	1	Proteobacteria	1	Bacteria
Dala_Dala_lig_N	17	Actinobacteria,Chlamydiae,Proteobacteria,Acidobacteria,Cyanobacteria,Chloroflexi,Chlorobi,Thermotogae,Deinococcus-Thermus,Bacteroidetes,Spirochaetes,Fusobacteria,Firmicutes,Ignavibacteriae,Planctomycetes,Aquificae,Rhodothermaeota	1	Bacteria
CBP_GIL	1	Proteobacteria	1	Bacteria
Dala_Dala_lig_C	20	Actinobacteria,Chlamydiae,Proteobacteria,Methanomicrobia,Acidobacteria,Cyanobacteria,Chloroflexi,Chlorobi,Thermotogae,Deinococcus-Thermus,Bacteroidetes,Spirochaetes,Fusobacteria,Firmicutes,Ignavibacteriae,Planctomycetes,Thermoplasmata,Aquificae,Halobacteria,Rhodothermaeota	2	Bacteria,Archaea
YukD	3	Actinobacteria,Chloroflexi,Firmicutes	1	Bacteria
YukC	1	Firmicutes	1	Bacteria
HLH	1	Halobacteria	1	Archaea
DUF3692	12	Thermoprotei,Methanomicrobia,Cyanobacteria,Chloroflexi,Thermococci,Methanopyri,Archaeoglobi,Bacteroidetes,Actinobacteria,Proteobacteria,Thermotogae,Deinococcus-Thermus	2	Archaea,Bacteria
Lact_bio_phlase	1	Firmicutes	1	Bacteria
DUF72	20	Thermoprotei,Methanomicrobia,Thermoplasmata,Chlamydiae,Thermococci,Acidobacteria,Cyanobacteria,Chloroflexi,Actinobacteria,Archaeoglobi,Thermotogae,Deinococcus-Thermus,Proteobacteria,Bacteroidetes,Ignavibacteriae,Planctomycetes,Firmicutes,Aquificae,Methanobacteria,Rhodothermaeota	2	Archaea,Bacteria
PAP2_C	1	Ignavibacteriae	1	Bacteria
DUF2808	2	Cyanobacteria,Halobacteria	2	Bacteria,Archaea
DUF2809	7	Acidobacteria,Cyanobacteria,Chloroflexi,Proteobacteria,Firmicutes,Bacteroidetes,Actinobacteria	1	Bacteria
